"","word","category","lexical_class"
"351","cowboy","people","other"
"352","daddy","people","other"
"353","doctor","people","other"
"354","fireman","people","other"
"355","friend","people","other"
"356","girl","people","other"
"357","grandma","people","other"
"358","grandpa","people","other"
"359","lady","people","other"
"360","mailman","people","other"
"361","man","people","other"
"362","mommy","people","other"
"363","nurse","people","other"
"364","people","people","other"
"365","person","people","other"
"366","police","people","other"
"367","sister","people","other"
"368","teacher","people","other"
"369","uncle","people","other"
"370","bath","games_routines","other"
"371","breakfast","games_routines","other"
"372","bye","games_routines","other"
"373","call","games_routines","other"
"374","dinner","games_routines","other"
"375","give me five","games_routines","other"
"376","gonna get you","games_routines","other"
"377","go potty","games_routines","other"
"378","hello","games_routines","other"
"379","hi","games_routines","other"
"380","lunch","games_routines","other"
"381","nap","games_routines","other"
"382","night night","games_routines","other"
"383","no","games_routines","other"
"384","pattycake","games_routines","other"
"385","peekaboo","games_routines","other"
"386","please","games_routines","other"
"387","shh","games_routines","other"
"388","shopping","games_routines","other"
"389","snack","games_routines","other"
"390","so big","games_routines","other"
"391","thank you","games_routines","other"
"392","this little piggy","games_routines","other"
"393","turn around","games_routines","other"
"394","yes","games_routines","other"
"395","bite","action_words","verbs"
"396","blow","action_words","verbs"
"397","break","action_words","verbs"
"398","bring","action_words","verbs"
"399","build","action_words","verbs"
"400","bump","action_words","verbs"
"401","buy","action_words","verbs"
"402","carry","action_words","verbs"
"403","catch","action_words","verbs"
"404","chase","action_words","verbs"
"405","clap","action_words","verbs"
"406","clean","action_words","verbs"
"407","climb","action_words","verbs"
"408","close","action_words","verbs"
"409","cook","action_words","verbs"
"410","cover","action_words","verbs"
"411","cry","action_words","verbs"
"412","cut","action_words","verbs"
"413","dance","action_words","verbs"
"414","draw","action_words","verbs"
"415","drive","action_words","verbs"
"416","drop","action_words","verbs"
"417","dry","action_words","verbs"
"418","dump","action_words","verbs"
"419","eat","action_words","verbs"
"420","fall","action_words","verbs"
"421","feed","action_words","verbs"
"422","find","action_words","verbs"
"423","finish","action_words","verbs"
"424","fit","action_words","verbs"
"425","fix","action_words","verbs"
"426","get","action_words","verbs"
"427","give","action_words","verbs"
"428","go","action_words","verbs"
"429","hate","action_words","verbs"
"430","have","action_words","verbs"
"431","hear","action_words","verbs"
"432","help","action_words","verbs"
"433","hide","action_words","verbs"
"434","hit","action_words","verbs"
"435","hold","action_words","verbs"
"436","hug","action_words","verbs"
"437","hurry","action_words","verbs"
"438","jump","action_words","verbs"
"439","kick","action_words","verbs"
"440","kiss","action_words","verbs"
"441","knock","action_words","verbs"
"442","lick","action_words","verbs"
"443","like","action_words","verbs"
"444","listen","action_words","verbs"
"445","look","action_words","verbs"
"446","love","action_words","verbs"
"447","make","action_words","verbs"
"448","open","action_words","verbs"
"449","paint","action_words","verbs"
"450","pick","action_words","verbs"
"451","play","action_words","verbs"
"452","pour","action_words","verbs"
"453","pretend","action_words","verbs"
"454","pull","action_words","verbs"
"455","push","action_words","verbs"
"456","put","action_words","verbs"
"457","read","action_words","verbs"
"458","ride","action_words","verbs"
"459","rip","action_words","verbs"
"460","run","action_words","verbs"
"461","say","action_words","verbs"
"462","see","action_words","verbs"
"463","shake","action_words","verbs"
"464","share","action_words","verbs"
"465","show","action_words","verbs"
"466","sing","action_words","verbs"
"467","sit","action_words","verbs"
"468","skate","action_words","verbs"
"469","sleep","action_words","verbs"
"470","smile","action_words","verbs"
"471","spill","action_words","verbs"
"472","splash","action_words","verbs"
"473","stand","action_words","verbs"
"474","stay","action_words","verbs"
"475","stop","action_words","verbs"
"476","sweep","action_words","verbs"
"477","swim","action_words","verbs"
"478","take","action_words","verbs"
"479","talk","action_words","verbs"
"480","taste","action_words","verbs"
"481","tear","action_words","verbs"
"482","think","action_words","verbs"
"483","throw","action_words","verbs"
"484","tickle","action_words","verbs"
"485","touch","action_words","verbs"
"486","wait","action_words","verbs"
"487","wake","action_words","verbs"
"488","walk","action_words","verbs"
"489","wash","action_words","verbs"
"490","wipe","action_words","verbs"
"491","wish","action_words","verbs"
"492","write","action_words","verbs"
"493","all gone","descriptive_words","adjectives"
"494","asleep","descriptive_words","adjectives"
"495","awake","descriptive_words","adjectives"
"496","bad","descriptive_words","adjectives"
"497","better","descriptive_words","adjectives"
"498","big","descriptive_words","adjectives"
"499","black","descriptive_words","adjectives"
"500","blue","descriptive_words","adjectives"
"501","broken","descriptive_words","adjectives"
"502","brown","descriptive_words","adjectives"
"503","careful","descriptive_words","adjectives"
"504","cold","descriptive_words","adjectives"
"505","cute","descriptive_words","adjectives"
"506","dark","descriptive_words","adjectives"
"507","dirty","descriptive_words","adjectives"
"508","empty","descriptive_words","adjectives"
"509","fast","descriptive_words","adjectives"
"510","fine","descriptive_words","adjectives"
"511","first","descriptive_words","adjectives"
"512","full","descriptive_words","adjectives"
"513","gentle","descriptive_words","adjectives"
"514","good","descriptive_words","adjectives"
"515","green","descriptive_words","adjectives"
"516","happy","descriptive_words","adjectives"
"517","hard","descriptive_words","adjectives"
"518","heavy","descriptive_words","adjectives"
"519","high","descriptive_words","adjectives"
"520","hot","descriptive_words","adjectives"
"521","hungry","descriptive_words","adjectives"
"522","hurt","descriptive_words","adjectives"
"523","last","descriptive_words","adjectives"
"524","little","descriptive_words","adjectives"
"525","long","descriptive_words","adjectives"
"526","loud","descriptive_words","adjectives"
"527","mad","descriptive_words","adjectives"
"528","naughty","descriptive_words","adjectives"
"529","new","descriptive_words","adjectives"
"530","nice","descriptive_words","adjectives"
"531","noisy","descriptive_words","adjectives"
