,word,category,lexical_class,polysemy
614,on_top_of,locations,function_words,0
615,out,locations,function_words,17
616,over,locations,function_words,7
617,there,locations,function_words,4
618,to,locations,function_words,0
619,under,locations,function_words,10
620,up,locations,function_words,14
621,with,locations,function_words,0
622,a,quantifiers,function_words,7
623,all,quantifiers,function_words,3
624,a_lot,quantifiers,function_words,1
625,an,quantifiers,function_words,1
626,another,quantifiers,function_words,1
627,any,quantifiers,function_words,2
628,each,quantifiers,function_words,2
629,every,quantifiers,function_words,2
630,more,quantifiers,function_words,5
631,much,quantifiers,function_words,7
632,none,quantifiers,function_words,4
633,not,quantifiers,function_words,1
634,other,quantifiers,function_words,4
635,same,quantifiers,function_words,6
636,some,quantifiers,function_words,5
637,the,quantifiers,function_words,0
638,too,quantifiers,function_words,2
639,am,helping_verbs,function_words,16
640,are,helping_verbs,function_words,14
641,be,helping_verbs,function_words,14
642,could,helping_verbs,function_words,0
643,did,helping_verbs,function_words,0
644,do,helping_verbs,function_words,16
645,does,helping_verbs,function_words,0
646,dont,helping_verbs,function_words,0
647,gonna,helping_verbs,function_words,0
648,gotta,helping_verbs,function_words,0
649,hafta,helping_verbs,function_words,0
650,is,helping_verbs,function_words,0
651,lemme,helping_verbs,function_words,0
652,need,helping_verbs,function_words,7
653,try,helping_verbs,function_words,10
654,wanna,helping_verbs,function_words,0
655,was,helping_verbs,function_words,0
656,were,helping_verbs,function_words,0
657,will,helping_verbs,function_words,6
658,would,helping_verbs,function_words,0
659,and,connecting_words,function_words,0
660,because,connecting_words,function_words,0
661,but,connecting_words,function_words,1
662,if,connecting_words,function_words,0
663,so,connecting_words,function_words,11
664,then,connecting_words,function_words,5
0,one,number,other,9
1,two,number,other,3
2,three,number,other,3
3,four,number,other,3
4,five,number,other,4
5,six,number,other,3
6,seven,number,other,3
7,eight,number,other,4
8,nine,number,other,4
9,ten,number,other,3
10,eleven,number,other,3
11,twelve,number,other,2
12,thirteen,number,other,2
13,fourteen,number,other,2
14,fifteen,number,other,2
15,sixteen,number,other,2
16,seventeen,number,other,2
17,eighteen,number,other,2
18,nineteen,number,other,2
19,twenty,number,other,3
20,thirty,number,other,2
21,forty,number,other,2
22,fifty,number,other,3
23,sixty,number,other,2
24,seventy,number,other,2
25,eighty,number,other,2
26,ninety,number,other,2
27,zero,number,other,10
