,word,category,lexical_class,period0,period1,period2,period3,period4,period5,period6,period7,period8,period9,period10
502,ten,number,nouns,0.5311346482485533,0.6035078421235085,0.5324751305393874,0.5752603936940431,0.5525337227620184,0.5962011009454727,0.6045018699020147,0.5292942237108946,0.4726213861256838,0.6189402259886265,0.678888562321663
503,eleven,number,nouns,0.5145402060821652,0.6043619219213724,0.5187545005232096,0.5537870075553656,0.5583873506635427,0.6402526117861271,0.6040181767195463,0.5800020709633827,0.5031759288161993,0.6375089634209872,0.6549129921942949
504,twelve,number,nouns,0.4730511371046305,0.5360305116511881,0.49589641373604537,0.5442662423476576,0.5286327928304673,0.5609515104442835,0.5443305796012282,0.5880706947296858,0.4666209813207388,0.5546195695176721,0.5603968750685453
505,thirteen,number,nouns,0.0,0.6096114408224821,0.49668010585010053,0.5135654034093022,0.5170119810849428,0.553735292935744,0.6760772038251162,0.5589296299964189,0.464049413241446,0.5966755725443363,0.5895252515561878
506,fourteen,number,nouns,0.0,0.5991807585582137,0.0,0.503599270619452,0.5528973963111639,0.5130323689430952,0.6272291157394647,0.5734374962747097,0.3972030268982053,0.6304213872179389,0.610257456637919
507,fifteen,number,nouns,0.3138369280844927,0.5332313539460302,0.46383531340397893,0.40885288566350936,0.47574671818874775,0.6051026086788625,0.4813389630522579,0.6080951176583766,0.4844769078772515,0.6058973340317607,0.6818972699344158
508,sixteen,number,nouns,0.0,0.5783819079399108,0.0,0.5126095367595553,0.37000327224009916,0.48453649412840605,0.4534802595153451,0.5363552212715149,0.33496732711791993,0.565669784322381,0.5372762992978096
509,seventeen,number,nouns,0.0,0.5523985395208001,0.0,0.03703278908506036,0.0,0.5538976394571364,0.5647710063494742,0.5376524437218905,0.0,0.5683924430981279,0.4983692112378776
510,eighteen,number,nouns,0.0,0.4944039586931467,0.0,0.3349703748244792,0.0,0.592789420671761,0.5181037737056613,0.5351848725229502,0.0,0.5899891713634133,0.5901868112385273
511,nineteen,number,nouns,0.0,0.5374206598848105,0.0,0.5347643757704645,0.4872520123142749,0.5770163001958281,0.48300348152406514,0.5669424133375287,0.0,0.6243215441703797,0.5236939850728959
512,twenty,number,nouns,0.4823215801268816,0.5222549966536463,0.4674763822928071,0.525310762040317,0.5257755374535918,0.6220174239948392,0.5625797806307673,0.5705700109712779,0.4865231982432306,0.6350927880033851,0.6828756357543171
513,thirty,number,nouns,0.46099800504744054,0.4859161112457514,0.4700244041159749,0.5398221159353852,0.5941765068098903,0.5817639216780662,0.5329031849279999,0.5225313505157828,0.49045825768262147,0.5866584528237582,0.6630054106935859
514,forty,number,nouns,0.0,0.4978752376511693,0.0,0.5448312167078256,0.5448516424745321,0.5687607064843178,0.5464636022225022,0.6387900434434414,0.48872728310525415,0.6308058567345143,0.5756141941994428
515,fifty,number,nouns,0.0,0.0,0.2405964432284236,0.4470582565292716,0.46818763576447964,0.5102700816467405,0.5039549920707941,0.49560745172202586,0.45462147071957587,0.5786809395998717,0.4871734969317913
516,sixty,number,nouns,0.0,0.0,0.0,0.0,0.4965613098815084,0.0,0.564300480298698,0.6202560901641846,0.0,0.5803581127896905,0.5592937225475907
517,seventy,number,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5808174930512905,0.0,0.6524941436946392,0.5369870906695724
518,eighty,number,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5268385980278254,0.0,0.5566038692370057,0.5191371751949191
519,ninety,number,nouns,0.0,0.0,0.0,0.0,0.4131159508600831,0.460771775059402,0.45143396090716126,0.524110396951437,0.0,0.5200795335695148,0.4253662982955575
520,zero,number,nouns,0.0,0.1347491626627743,0.0,0.14357048589736224,0.16626184303313493,0.11495036659762263,0.16552000623196364,0.18125238157808782,0.0,0.0,0.15585809256881475
521,hundred,number,nouns,0.07745141225556533,0.20138903550411524,0.12978468899075923,0.3447721630334854,0.35136311445385215,0.28468538336455823,0.36501637287437916,0.4255905456840992,0.3484909348189831,0.4167372263967991,0.34778289664536716
522,thousand,number,nouns,0.0,0.0,0.0,0.0,0.0,0.30766025073826314,0.3293506289366633,0.0,0.33231878876686094,0.4095132198184729,0.32221957119181754
523,million,number,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15068468998651952,0.07269339696504176
524,billion,number,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,trillion,number,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,backyard,outside,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,cloud,outside,nouns,0.08502315298507088,0.10983895106861989,0.09549225396231602,0.07459885254502296,0.1116771443746984,0.12360200434923171,0.17614481113851072,0.1112454017624259,0.1409392612054944,0.12415696191601455,0.1268051616381854
528,flag,outside,nouns,0.0,0.07787241702899336,0.12600500210139312,0.10536261334231026,0.1381233872257565,0.11179341905211147,0.11045721024274827,0.10429586078971624,0.12891937475651502,0.13739437153562903,0.08209662837907672
529,flower,outside,nouns,0.16845105902144783,0.19491677103858246,0.20134874992072582,0.12249816807084962,0.14905162230134011,0.2638013955205679,0.22527442071586848,0.18888763189315796,0.19790013860911132,0.18158526130412755,0.21063903700560332
